HbO,1,1	HbR,1,1	HbT,1,1	HbO,1,2	HbR,1,2	HbT,1,2	HbO,1,3	HbR,1,3	HbT,1,3	HbO,2,2	HbR,2,2	HbT,2,2	HbO,2,4	HbR,2,4	HbT,2,4	HbO,3,1	HbR,3,1	HbT,3,1	HbO,3,3	HbR,3,3	HbT,3,3	HbO,4,2	HbR,4,2	HbT,4,2	HbO,4,3	HbR,4,3	HbT,4,3	HbO,4,4	HbR,4,4	HbT,4,4	HbO,5,5	HbR,5,5	HbT,5,5	HbO,5,6	HbR,5,6	HbT,5,6	HbO,5,7	HbR,5,7	HbT,5,7	HbO,6,6	HbR,6,6	HbT,6,6	HbO,6,8	HbR,6,8	HbT,6,8	HbO,7,5	HbR,7,5	HbT,7,5	HbO,7,7	HbR,7,7	HbT,7,7	HbO,8,6	HbR,8,6	HbT,8,6	HbO,8,7	HbR,8,7	HbT,8,7	HbO,8,8	HbR,8,8	HbT,8,8	
-7.2066e-08	-3.4776e-08	-1.0684e-07	-1.3229e-07	-6.0399e-08	-1.9269e-07	4.051e-08	-4.07e-08	-1.8979e-10	3.4886e-07	1.6565e-08	3.6543e-07	1.2391e-07	-1.9667e-08	1.0425e-07	-6.7783e-08	4.636e-08	-2.1422e-08	7.9465e-08	-6.1838e-08	1.7627e-08	2.2654e-07	-2.7485e-08	1.9905e-07	2.7285e-07	-6.47e-08	2.0815e-07	5.9209e-08	-3.95e-08	1.9709e-08	-6.2513e-08	-9.5548e-08	-1.5806e-07	7.3266e-08	-7.1052e-08	2.2141e-09	1.3972e-07	-1.8751e-08	1.2097e-07	8.1472e-08	-1.4809e-07	-6.6614e-08	2.3608e-07	-8.8393e-08	1.4769e-07	-3.5556e-08	-5.1887e-08	-8.7443e-08	5.3986e-08	1.03e-08	6.4286e-08	7.8856e-08	-4.9835e-08	2.9021e-08	2.2323e-07	-2.8555e-08	1.9467e-07	4.3281e-08	-8.5074e-08	-4.1793e-08
-7.0329e-08	-3.4103e-08	-1.0443e-07	-1.2902e-07	-5.9109e-08	-1.8813e-07	3.9887e-08	-3.9787e-08	1.0022e-10	3.4201e-07	1.6451e-08	3.5847e-07	1.2107e-07	-1.9116e-08	1.0195e-07	-6.6324e-08	4.5328e-08	-2.0996e-08	7.787e-08	-6.0533e-08	1.7337e-08	2.2144e-07	-2.6887e-08	1.9455e-07	2.665e-07	-6.338e-08	2.0312e-07	5.7374e-08	-3.8531e-08	1.8843e-08	-6.0738e-08	-9.4098e-08	-1.5484e-07	7.1897e-08	-7.003e-08	1.8667e-09	1.3721e-07	-1.8217e-08	1.1899e-07	7.9607e-08	-1.4493e-07	-6.5326e-08	2.307e-07	-8.6325e-08	1.4437e-07	-3.4516e-08	-5.0963e-08	-8.5478e-08	5.2796e-08	1.0011e-08	6.2808e-08	7.7075e-08	-4.882e-08	2.8255e-08	2.1835e-07	-2.7846e-08	1.905e-07	4.2123e-08	-8.3165e-08	-4.1042e-08
-6.8599e-08	-3.3427e-08	-1.0203e-07	-1.2577e-07	-5.7819e-08	-1.8359e-07	3.9256e-08	-3.8875e-08	3.8164e-10	3.3514e-07	1.6327e-08	3.5147e-07	1.1823e-07	-1.8569e-08	9.9658e-08	-6.4866e-08	4.4299e-08	-2.0567e-08	7.6272e-08	-5.9228e-08	1.7045e-08	2.1635e-07	-2.6288e-08	1.9006e-07	2.6016e-07	-6.2059e-08	1.981e-07	5.5559e-08	-3.7566e-08	1.7993e-08	-5.8979e-08	-9.263e-08	-1.5161e-07	7.0522e-08	-6.8994e-08	1.5281e-09	1.3467e-07	-1.7687e-08	1.1699e-07	7.7749e-08	-1.4178e-07	-6.403e-08	2.2532e-07	-8.4262e-08	1.4106e-07	-3.3488e-08	-5.0033e-08	-8.352e-08	5.1607e-08	9.7247e-09	6.1331e-08	7.53e-08	-4.7803e-08	2.7497e-08	2.1348e-07	-2.7139e-08	1.8634e-07	4.0974e-08	-8.1259e-08	-4.0285e-08
-6.6876e-08	-3.275e-08	-9.9626e-08	-1.2254e-07	-5.653e-08	-1.7907e-07	3.8618e-08	-3.7964e-08	6.5443e-10	3.2825e-07	1.6194e-08	3.4445e-07	1.1539e-07	-1.8024e-08	9.7368e-08	-6.3409e-08	4.3272e-08	-2.0137e-08	7.4671e-08	-5.7922e-08	1.6749e-08	2.1126e-07	-2.5689e-08	1.8557e-07	2.5384e-07	-6.0735e-08	1.9311e-07	5.3764e-08	-3.6605e-08	1.716e-08	-5.7236e-08	-9.1146e-08	-1.4838e-07	6.9141e-08	-6.7943e-08	1.1984e-09	1.3213e-07	-1.7161e-08	1.1497e-07	7.5898e-08	-1.3862e-07	-6.2727e-08	2.1996e-07	-8.2204e-08	1.3775e-07	-3.2472e-08	-4.9096e-08	-8.1568e-08	5.0417e-08	9.4409e-09	5.9858e-08	7.3532e-08	-4.6784e-08	2.6747e-08	2.0861e-07	-2.6436e-08	1.8218e-07	3.9833e-08	-7.9355e-08	-3.9522e-08
-6.516e-08	-3.207e-08	-9.723e-08	-1.1933e-07	-5.5242e-08	-1.7457e-07	3.7972e-08	-3.7053e-08	9.1855e-10	3.2134e-07	1.6051e-08	3.3739e-07	1.1256e-07	-1.7484e-08	9.5081e-08	-6.1953e-08	4.2249e-08	-1.9705e-08	7.3067e-08	-5.6617e-08	1.645e-08	2.0619e-07	-2.509e-08	1.811e-07	2.4754e-07	-5.941e-08	1.8813e-07	5.1989e-08	-3.5647e-08	1.6343e-08	-5.5509e-08	-8.9645e-08	-1.4515e-07	6.7755e-08	-6.6877e-08	8.7762e-10	1.2957e-07	-1.664e-08	1.1293e-07	7.4053e-08	-1.3547e-07	-6.1417e-08	2.1461e-07	-8.0152e-08	1.3446e-07	-3.1469e-08	-4.8153e-08	-7.9622e-08	4.9228e-08	9.1598e-09	5.8388e-08	7.177e-08	-4.5764e-08	2.6006e-08	2.0375e-07	-2.5736e-08	1.7802e-07	3.8701e-08	-7.7454e-08	-3.8754e-08
-6.3452e-08	-3.1388e-08	-9.484e-08	-1.1614e-07	-5.3955e-08	-1.701e-07	3.7318e-08	-3.6144e-08	1.174e-09	3.144e-07	1.5899e-08	3.303e-07	1.0974e-07	-1.6946e-08	9.2798e-08	-6.0498e-08	4.1228e-08	-1.927e-08	7.146e-08	-5.5311e-08	1.6149e-08	2.0113e-07	-2.449e-08	1.7664e-07	2.4126e-07	-5.8083e-08	1.8318e-07	5.0235e-08	-3.4693e-08	1.5542e-08	-5.3797e-08	-8.8128e-08	-1.4192e-07	6.6363e-08	-6.5797e-08	5.6583e-10	1.2699e-07	-1.6123e-08	1.1087e-07	7.2214e-08	-1.3231e-07	-6.0101e-08	2.0928e-07	-7.8106e-08	1.3117e-07	-3.0478e-08	-4.7204e-08	-7.7683e-08	4.8039e-08	8.8814e-09	5.692e-08	7.0014e-08	-4.4741e-08	2.5273e-08	1.989e-07	-2.5039e-08	1.7386e-07	3.7576e-08	-7.5556e-08	-3.798e-08
-6.1751e-08	-3.0705e-08	-9.2456e-08	-1.1297e-07	-5.2668e-08	-1.6564e-07	3.6657e-08	-3.5236e-08	1.4207e-09	3.0745e-07	1.5738e-08	3.2319e-07	1.0693e-07	-1.6412e-08	9.0519e-08	-5.9045e-08	4.021e-08	-1.8834e-08	6.985e-08	-5.4006e-08	1.5844e-08	1.9608e-07	-2.389e-08	1.7219e-07	2.35e-07	-5.6755e-08	1.7825e-07	4.85e-08	-3.3743e-08	1.4758e-08	-5.21e-08	-8.6594e-08	-1.3869e-07	6.4966e-08	-6.4703e-08	2.6309e-10	1.2441e-07	-1.5611e-08	1.0879e-07	7.0382e-08	-1.2916e-07	-5.8777e-08	2.0396e-07	-7.6066e-08	1.279e-07	-2.95e-08	-4.625e-08	-7.5749e-08	4.685e-08	8.6055e-09	5.5456e-08	6.8265e-08	-4.3717e-08	2.4549e-08	1.9405e-07	-2.4346e-08	1.697e-07	3.6461e-08	-7.3661e-08	-3.72e-08
-6.0058e-08	-3.0019e-08	-9.0077e-08	-1.0981e-07	-5.1383e-08	-1.612e-07	3.5988e-08	-3.4329e-08	1.6586e-09	3.0048e-07	1.5568e-08	3.1604e-07	1.0412e-07	-1.5882e-08	8.8243e-08	-5.7592e-08	3.9195e-08	-1.8396e-08	6.8237e-08	-5.27e-08	1.5537e-08	1.9103e-07	-2.3291e-08	1.6774e-07	2.2876e-07	-5.5425e-08	1.7334e-07	4.6786e-08	-3.2797e-08	1.399e-08	-5.042e-08	-8.5043e-08	-1.3546e-07	6.3563e-08	-6.3593e-08	-3.0549e-11	1.218e-07	-1.5104e-08	1.067e-07	6.8557e-08	-1.26e-07	-5.7448e-08	1.9866e-07	-7.4033e-08	1.2463e-07	-2.8533e-08	-4.5289e-08	-7.3822e-08	4.5662e-08	8.3323e-09	5.3995e-08	6.6523e-08	-4.2691e-08	2.3832e-08	1.892e-07	-2.3656e-08	1.6554e-07	3.5353e-08	-7.1769e-08	-3.6416e-08
-5.8372e-08	-2.9331e-08	-8.7703e-08	-1.0668e-07	-5.0099e-08	-1.5678e-07	3.5312e-08	-3.3424e-08	1.8878e-09	2.9348e-07	1.5389e-08	3.0887e-07	1.0133e-07	-1.5355e-08	8.5971e-08	-5.614e-08	3.8184e-08	-1.7957e-08	6.6622e-08	-5.1395e-08	1.5227e-08	1.86e-07	-2.2691e-08	1.6331e-07	2.2254e-07	-5.4093e-08	1.6845e-07	4.5092e-08	-3.1854e-08	1.3238e-08	-4.8755e-08	-8.3476e-08	-1.3223e-07	6.2155e-08	-6.247e-08	-3.1502e-10	1.1919e-07	-1.4602e-08	1.0459e-07	6.6737e-08	-1.2285e-07	-5.6113e-08	1.9338e-07	-7.2005e-08	1.2137e-07	-2.7579e-08	-4.4323e-08	-7.1902e-08	4.4475e-08	8.0616e-09	5.2537e-08	6.4787e-08	-4.1663e-08	2.3123e-08	1.8436e-07	-2.297e-08	1.6139e-07	3.4254e-08	-6.988e-08	-3.5626e-08
-5.6693e-08	-2.8642e-08	-8.5335e-08	-1.0356e-07	-4.8816e-08	-1.5238e-07	3.4628e-08	-3.252e-08	2.1081e-09	2.8647e-07	1.5202e-08	3.0168e-07	9.8535e-08	-1.4832e-08	8.3702e-08	-5.469e-08	3.7175e-08	-1.7515e-08	6.5005e-08	-5.009e-08	1.4914e-08	1.8098e-07	-2.2091e-08	1.5889e-07	2.1634e-07	-5.276e-08	1.6358e-07	4.3418e-08	-3.0916e-08	1.2502e-08	-4.7106e-08	-8.1892e-08	-1.29e-07	6.0741e-08	-6.1331e-08	-5.9029e-10	1.1656e-07	-1.4104e-08	1.0246e-07	6.4924e-08	-1.197e-07	-5.4773e-08	1.881e-07	-6.9984e-08	1.1812e-07	-2.6637e-08	-4.3351e-08	-6.9987e-08	4.3289e-08	7.7935e-09	5.1082e-08	6.3057e-08	-4.0634e-08	2.2423e-08	1.7953e-07	-2.2288e-08	1.5724e-07	3.3163e-08	-6.7994e-08	-3.4831e-08
