HbO,1,1	HbR,1,1	HbT,1,1	HbO,1,2	HbR,1,2	HbT,1,2	HbO,1,3	HbR,1,3	HbT,1,3	HbO,2,2	HbR,2,2	HbT,2,2	HbO,2,4	HbR,2,4	HbT,2,4	HbO,3,1	HbR,3,1	HbT,3,1	HbO,3,3	HbR,3,3	HbT,3,3	HbO,4,2	HbR,4,2	HbT,4,2	HbO,4,3	HbR,4,3	HbT,4,3	HbO,4,4	HbR,4,4	HbT,4,4	HbO,5,5	HbR,5,5	HbT,5,5	HbO,5,6	HbR,5,6	HbT,5,6	HbO,5,7	HbR,5,7	HbT,5,7	HbO,6,6	HbR,6,6	HbT,6,6	HbO,6,8	HbR,6,8	HbT,6,8	HbO,7,5	HbR,7,5	HbT,7,5	HbO,7,7	HbR,7,7	HbT,7,7	HbO,8,6	HbR,8,6	HbT,8,6	HbO,8,7	HbR,8,7	HbT,8,7	HbO,8,8	HbR,8,8	HbT,8,8	
8.7355e-07	5.03e-07	1.3765e-06	6.487e-07	-4.0706e-08	6.0799e-07	1.249e-06	3.5437e-07	1.6034e-06	9.837e-07	4.6359e-07	1.4473e-06	-5.9824e-08	-1.2819e-07	-1.8802e-07	-8.684e-08	1.3735e-07	5.0509e-08	2.74e-07	3.0609e-07	5.8009e-07	-4.8543e-07	-1.8294e-07	-6.6836e-07	1.3321e-06	3.5544e-07	1.6875e-06	5.7302e-07	1.2391e-07	6.9693e-07	5.0538e-07	7.7371e-08	5.8275e-07	4.7314e-07	9.3052e-08	5.6619e-07	3.8554e-07	7.6981e-08	4.6252e-07	9.4438e-07	1.7065e-07	1.115e-06	7.7543e-08	-2.5274e-08	5.2269e-08	6.9498e-07	1.2596e-07	8.2094e-07	2.6958e-07	1.9102e-07	4.6059e-07	4.2383e-07	3.5709e-07	7.8092e-07	2.7855e-07	2.1763e-07	4.9618e-07	2.0427e-07	1.225e-07	3.2677e-07
8.5754e-07	4.9419e-07	1.3517e-06	6.3609e-07	-3.9576e-08	5.9651e-07	1.2255e-06	3.484e-07	1.5739e-06	9.6467e-07	4.5478e-07	1.4194e-06	-5.8439e-08	-1.258e-07	-1.8424e-07	-8.5339e-08	1.3511e-07	4.9774e-08	2.6855e-07	3.0029e-07	5.6885e-07	-4.7686e-07	-1.7935e-07	-6.5621e-07	1.3065e-06	3.4876e-07	1.6553e-06	5.6191e-07	1.2159e-07	6.835e-07	4.9587e-07	7.6425e-08	5.723e-07	4.6391e-07	9.1644e-08	5.5555e-07	3.7785e-07	7.6141e-08	4.5399e-07	9.2671e-07	1.6757e-07	1.0943e-06	7.5947e-08	-2.4845e-08	5.1102e-08	6.8136e-07	1.2384e-07	8.052e-07	2.6366e-07	1.8773e-07	4.5139e-07	4.1492e-07	3.5085e-07	7.6576e-07	2.7232e-07	2.139e-07	4.8622e-07	1.9976e-07	1.2054e-07	3.203e-07
8.4145e-07	4.8533e-07	1.3268e-06	6.2344e-07	-3.845e-08	5.8499e-07	1.2018e-06	3.4238e-07	1.5442e-06	9.4558e-07	4.4593e-07	1.3915e-06	-5.7056e-08	-1.234e-07	-1.8045e-07	-8.3822e-08	1.3286e-07	4.9034e-08	2.6309e-07	2.9448e-07	5.5756e-07	-4.6825e-07	-1.7575e-07	-6.44e-07	1.2809e-06	3.4205e-07	1.623e-06	5.5076e-07	1.1927e-07	6.7003e-07	4.8632e-07	7.5458e-08	5.6178e-07	4.5464e-07	9.0218e-08	5.4486e-07	3.7014e-07	7.5278e-08	4.4541e-07	9.0895e-07	1.6447e-07	1.0734e-06	7.4346e-08	-2.4413e-08	4.9933e-08	6.6771e-07	1.2169e-07	7.894e-07	2.5775e-07	1.8441e-07	4.4216e-07	4.0599e-07	3.4456e-07	7.5055e-07	2.661e-07	2.1014e-07	4.7623e-07	1.9525e-07	1.1856e-07	3.1381e-07
8.2529e-07	4.7641e-07	1.3017e-06	6.1076e-07	-3.733e-08	5.7343e-07	1.1781e-06	3.3631e-07	1.5144e-06	9.2642e-07	4.3705e-07	1.3635e-06	-5.5675e-08	-1.2098e-07	-1.7666e-07	-8.2289e-08	1.3058e-07	4.8286e-08	2.5761e-07	2.8863e-07	5.4624e-07	-4.5959e-07	-1.7214e-07	-6.3173e-07	1.2552e-06	3.3532e-07	1.5905e-06	5.3959e-07	1.1694e-07	6.5653e-07	4.7673e-07	7.447e-08	5.512e-07	4.4535e-07	8.8775e-08	5.3412e-07	3.624e-07	7.4391e-08	4.3679e-07	8.9111e-07	1.6136e-07	1.0525e-06	7.2741e-08	-2.398e-08	4.8761e-08	6.5401e-07	1.1954e-07	7.7355e-07	2.5184e-07	1.8107e-07	4.3291e-07	3.9705e-07	3.3823e-07	7.3528e-07	2.5988e-07	2.0635e-07	4.6623e-07	1.9075e-07	1.1656e-07	3.0731e-07
8.0905e-07	4.6744e-07	1.2765e-06	5.9803e-07	-3.6215e-08	5.6182e-07	1.1542e-06	3.302e-07	1.4844e-06	9.072e-07	4.2813e-07	1.3353e-06	-5.4297e-08	-1.1856e-07	-1.7286e-07	-8.0741e-08	1.2827e-07	4.7532e-08	2.5212e-07	2.8276e-07	5.3488e-07	-4.5088e-07	-1.6852e-07	-6.194e-07	1.2294e-06	3.2856e-07	1.5579e-06	5.2839e-07	1.146e-07	6.4299e-07	4.671e-07	7.3461e-08	5.4057e-07	4.3603e-07	8.7314e-08	5.2334e-07	3.5464e-07	7.3481e-08	4.2813e-07	8.7319e-07	1.5823e-07	1.0314e-06	7.1133e-08	-2.3545e-08	4.7588e-08	6.4029e-07	1.1736e-07	7.5764e-07	2.4594e-07	1.7771e-07	4.2364e-07	3.8809e-07	3.3186e-07	7.1996e-07	2.5366e-07	2.0254e-07	4.562e-07	1.8625e-07	1.1454e-07	3.0079e-07
7.9274e-07	4.5842e-07	1.2512e-06	5.8527e-07	-3.5106e-08	5.5016e-07	1.1303e-06	3.2405e-07	1.4543e-06	8.8793e-07	4.1918e-07	1.3071e-06	-5.2921e-08	-1.1613e-07	-1.6905e-07	-7.9177e-08	1.2595e-07	4.6772e-08	2.4661e-07	2.7687e-07	5.2348e-07	-4.4212e-07	-1.6489e-07	-6.0701e-07	1.2035e-06	3.2179e-07	1.5253e-06	5.1716e-07	1.1225e-07	6.2942e-07	4.5744e-07	7.2432e-08	5.2987e-07	4.2668e-07	8.5836e-08	5.1251e-07	3.4687e-07	7.2549e-08	4.1942e-07	8.5518e-07	1.5508e-07	1.0103e-06	6.9521e-08	-2.3107e-08	4.6414e-08	6.2652e-07	1.1516e-07	7.4169e-07	2.4004e-07	1.7432e-07	4.1436e-07	3.7913e-07	3.2545e-07	7.0458e-07	2.4745e-07	1.987e-07	4.4615e-07	1.8176e-07	1.1249e-07	2.9425e-07
7.7636e-07	4.4934e-07	1.2257e-06	5.7247e-07	-3.4003e-08	5.3847e-07	1.1062e-06	3.1786e-07	1.4241e-06	8.6859e-07	4.102e-07	1.2788e-06	-5.1547e-08	-1.1369e-07	-1.6523e-07	-7.7598e-08	1.236e-07	4.6004e-08	2.4109e-07	2.7095e-07	5.1204e-07	-4.3331e-07	-1.6125e-07	-5.9456e-07	1.1775e-06	3.1498e-07	1.4925e-06	5.0591e-07	1.099e-07	6.1581e-07	4.4773e-07	7.1382e-08	5.1911e-07	4.173e-07	8.4341e-08	5.0164e-07	3.3907e-07	7.1593e-08	4.1066e-07	8.371e-07	1.5191e-07	9.8901e-07	6.7906e-08	-2.2667e-08	4.5239e-08	6.1272e-07	1.1295e-07	7.2568e-07	2.3414e-07	1.7091e-07	4.0505e-07	3.7016e-07	3.19e-07	6.8916e-07	2.4125e-07	1.9483e-07	4.3609e-07	1.7727e-07	1.1043e-07	2.877e-07
7.5991e-07	4.4021e-07	1.2001e-06	5.5964e-07	-3.2906e-08	5.2673e-07	1.0821e-06	3.1162e-07	1.3937e-06	8.4919e-07	4.0119e-07	1.2504e-06	-5.0177e-08	-1.1123e-07	-1.6141e-07	-7.6005e-08	1.2123e-07	4.5229e-08	2.3556e-07	2.6501e-07	5.0057e-07	-4.2445e-07	-1.576e-07	-5.8206e-07	1.1515e-06	3.0816e-07	1.4596e-06	4.9463e-07	1.0754e-07	6.0217e-07	4.3799e-07	7.0312e-08	5.083e-07	4.079e-07	8.2828e-08	4.9073e-07	3.3125e-07	7.0614e-08	4.0187e-07	8.1893e-07	1.4873e-07	9.6766e-07	6.6288e-08	-2.2225e-08	4.4063e-08	5.9889e-07	1.1072e-07	7.0961e-07	2.2825e-07	1.6748e-07	3.9573e-07	3.6117e-07	3.1251e-07	6.7368e-07	2.3506e-07	1.9094e-07	4.26e-07	1.7279e-07	1.0835e-07	2.8114e-07
7.4338e-07	4.3103e-07	1.1744e-06	5.4677e-07	-3.1815e-08	5.1495e-07	1.0579e-06	3.0533e-07	1.3632e-06	8.2974e-07	3.9215e-07	1.2219e-06	-4.8809e-08	-1.0877e-07	-1.5758e-07	-7.4398e-08	1.1884e-07	4.4446e-08	2.3001e-07	2.5905e-07	4.8906e-07	-4.1555e-07	-1.5395e-07	-5.695e-07	1.1253e-06	3.0131e-07	1.4266e-06	4.8333e-07	1.0517e-07	5.885e-07	4.2821e-07	6.922e-08	4.9743e-07	3.9847e-07	8.1299e-08	4.7977e-07	3.2342e-07	6.9612e-08	3.9303e-07	8.0069e-07	1.4553e-07	9.4623e-07	6.4667e-08	-2.1781e-08	4.2886e-08	5.8503e-07	1.0848e-07	6.9351e-07	2.2236e-07	1.6402e-07	3.8639e-07	3.5218e-07	3.0598e-07	6.5816e-07	2.2887e-07	1.8702e-07	4.159e-07	1.6832e-07	1.0624e-07	2.7456e-07
7.2678e-07	4.218e-07	1.1486e-06	5.3386e-07	-3.073e-08	5.0313e-07	1.0336e-06	2.9901e-07	1.3326e-06	8.1024e-07	3.8308e-07	1.1933e-06	-4.7444e-08	-1.063e-07	-1.5374e-07	-7.2778e-08	1.1643e-07	4.3657e-08	2.2445e-07	2.5307e-07	4.7752e-07	-4.066e-07	-1.5028e-07	-5.5688e-07	1.0991e-06	2.9444e-07	1.3935e-06	4.72e-07	1.0279e-07	5.748e-07	4.1839e-07	6.8108e-08	4.865e-07	3.8902e-07	7.9753e-08	4.6877e-07	3.1557e-07	6.8587e-08	3.8416e-07	7.8238e-07	1.4232e-07	9.247e-07	6.3043e-08	-2.1334e-08	4.1709e-08	5.7113e-07	1.0621e-07	6.7735e-07	2.1649e-07	1.6054e-07	3.7703e-07	3.4318e-07	2.9941e-07	6.426e-07	2.227e-07	1.8308e-07	4.0578e-07	1.6386e-07	1.0412e-07	2.6797e-07
